target,model,split_family,split_name,fold_id,main_evidence,n_train_rows,n_test_rows,n_train_cells,n_test_cells,best_params,model_registry_role,claim_boundary,MAE,RMSE,bias,R2,median_absolute_error,p90_absolute_error,Spearman_rank_correlation,Pearson_correlation,sign_agreement_cooling_non_cooling
delta_tmrt_p90_c,featureless_mean,group_kfold_cell,group_kfold_5fold,1,main_cell_grouped,2400,600,240,60,strategy=train_mean,headline_n150_compatible,"Surrogate/emulator of SOLWEIG-derived delta Tmrt/Tmrt features only; not observed truth, not WBGT calibration, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature importance.",0.32672775090555556,0.5073892125639163,0.05641243833333334,-0.012516105767786945,0.2396651283333333,0.7308398716666668,,,0.6966666666666667
delta_tmrt_p90_c,context_mean,group_kfold_cell,group_kfold_5fold,1,main_cell_grouped,2400,600,240,60,groupby=forcing_day_id+hour_sgt; fallback=train_mean,headline_n150_compatible,"Surrogate/emulator of SOLWEIG-derived delta Tmrt/Tmrt features only; not observed truth, not WBGT calibration, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature importance.",0.3228433289583334,0.5006012430512873,0.05641243833333334,0.01439402349631691,0.2304683875,0.6957179620833334,0.10205351298134804,0.1671563196764262,0.6966666666666667
delta_tmrt_p90_c,ridge,group_kfold_cell,group_kfold_5fold,1,main_cell_grouped,2400,600,240,60,{'alpha': 1.0},headline_n150_compatible,"Surrogate/emulator of SOLWEIG-derived delta Tmrt/Tmrt features only; not observed truth, not WBGT calibration, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature importance.",0.23006527039635272,0.39113188878490557,0.10958922668475286,0.3983195072307413,0.1172894772209683,0.6313326033097569,0.7163186038743816,0.6713871660083578,0.7533333333333333
delta_tmrt_p90_c,elasticnet,group_kfold_cell,group_kfold_5fold,1,main_cell_grouped,2400,600,240,60,"{'alpha': 0.001, 'l1_ratio': 0.5}",headline_n150_compatible,"Surrogate/emulator of SOLWEIG-derived delta Tmrt/Tmrt features only; not observed truth, not WBGT calibration, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature importance.",0.22458564113780094,0.38038562649497654,0.09815185242833459,0.43092739799080804,0.11049386945319459,0.6323840472655092,0.6910495289268085,0.686365496040447,0.74
delta_tmrt_p90_c,random_forest,group_kfold_cell,group_kfold_5fold,1,main_cell_grouped,2400,600,240,60,"{'n_estimators': 30, 'max_depth': 6, 'min_samples_leaf': 2, 'n_jobs': 1}",headline_n150_compatible,"Surrogate/emulator of SOLWEIG-derived delta Tmrt/Tmrt features only; not observed truth, not WBGT calibration, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature importance.",0.23604331018781802,0.46416065423644065,0.07437392351921926,0.15266308326586597,0.05508769134478737,0.714143430256082,0.7891335547922111,0.47275196408512227,0.6966666666666667
delta_tmrt_p90_c,extra_trees,group_kfold_cell,group_kfold_5fold,1,main_cell_grouped,2400,600,240,60,"{'n_estimators': 30, 'max_depth': None, 'min_samples_leaf': 1, 'n_jobs': 1, 'prior_candidate_baseline': True}",headline_n150_compatible,"Surrogate/emulator of SOLWEIG-derived delta Tmrt/Tmrt features only; not observed truth, not WBGT calibration, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature importance.",0.20874719605555553,0.4227947186485222,0.07919115427777777,0.296962342351372,0.05365916666666667,0.5726929433333335,0.8029042659519402,0.5723332090414089,0.7116666666666667
delta_tmrt_p90_c,hist_gradient_boosting,group_kfold_cell,group_kfold_5fold,1,main_cell_grouped,2400,600,240,60,"{'max_iter': 60, 'learning_rate': 0.06, 'max_leaf_nodes': 31}",headline_n150_compatible,"Surrogate/emulator of SOLWEIG-derived delta Tmrt/Tmrt features only; not observed truth, not WBGT calibration, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature importance.",0.24989137926725258,0.4748735159822075,0.045210760624149554,0.11309851991217079,0.0654738418626718,0.7216436417044937,0.7715097533831352,0.4569556027434056,0.6966666666666667
delta_tmrt_p90_c,featureless_mean,group_kfold_cell,group_kfold_5fold,2,main_cell_grouped,2400,600,240,60,strategy=train_mean,headline_n150_compatible,"Surrogate/emulator of SOLWEIG-derived delta Tmrt/Tmrt features only; not observed truth, not WBGT calibration, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature importance.",0.34601283307499997,0.6327650598325958,0.012048542499999992,-0.00036269497226038006,0.24818940750000001,0.4099061925,,,0.63
delta_tmrt_p90_c,context_mean,group_kfold_cell,group_kfold_5fold,2,main_cell_grouped,2400,600,240,60,groupby=forcing_day_id+hour_sgt; fallback=train_mean,headline_n150_compatible,"Surrogate/emulator of SOLWEIG-derived delta Tmrt/Tmrt features only; not observed truth, not WBGT calibration, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature importance.",0.340858848625,0.6281087880276244,0.012048542499999992,0.01430569570321516,0.23708812916666666,0.3748625358333333,0.08342810103851783,0.12161908870671775,0.63
delta_tmrt_p90_c,ridge,group_kfold_cell,group_kfold_5fold,2,main_cell_grouped,2400,600,240,60,{'alpha': 1.0},headline_n150_compatible,"Surrogate/emulator of SOLWEIG-derived delta Tmrt/Tmrt features only; not observed truth, not WBGT calibration, not AOI/B9 inference, not hazard or risk mapping, not exposure/vulnerability output, and not causal feature importance.",0.2371308063039267,0.3599137106954311,-0.0093641077410682,0.676354710974695,0.15604922924021095,0.5597406712254387,0.5318751110263873,0.8252082616454595,0.6566666666666666
